iter	RMSE
0	14.19813164
1	13.3008902
2	12.45130244
3	11.67857448
4	11.0080701
5	10.49306113
6	9.947211136
7	9.478082098
8	9.073378486
9	8.65861777
10	8.29256538
11	7.988289467
12	7.708460461
13	7.467087162
14	7.235063838
15	7.002298471
16	6.822532973
17	6.6653996
18	6.519192087
19	6.393793544
20	6.26610198
21	6.174699273
22	6.07177892
23	5.982355402
24	5.909616449
25	5.848498312
26	5.773189574
27	5.720967329
28	5.65608914
29	5.601661294
30	5.552541473
31	5.512304428
32	5.470028672
33	5.435827345
34	5.408405106
35	5.37866025
36	5.343617337
37	5.311155541
38	5.281023306
39	5.258308638
40	5.239592841
41	5.210862461
42	5.190200665
43	5.167739798
44	5.146200974
45	5.127056927
46	5.111817926
47	5.097050401
48	5.08481846
49	5.067909583
